date,state,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease
10/13/2020,AK,0,0,8707,155
10/13/2020,AL,0,261,5737,1117
10/13/2020,AR,25,109,7118,680
10/13/2020,AS,0,0,0,0
10/13/2020,AZ,8,55,6286,684
10/13/2020,CA,9,0,139998,2378
10/13/2020,CO,0,22,5569,576
10/13/2020,CT,1,0,13084,320
10/13/2020,DC,0,0,4216,46
10/13/2020,DE,3,0,1366,105
10/13/2020,FL,123,212,23416,2725
10/13/2020,GA,25,106,11429,993
10/13/2020,GU,1,0,582,96
10/13/2020,HI,0,4,0,42
10/13/2020,IA,13,0,2200,529
10/13/2020,ID,3,17,1783,597
10/13/2020,IL,29,0,53142,2851
10/13/2020,IN,27,131,6522,1549
10/13/2020,KS,0,0,0,0
10/13/2020,KY,14,138,25439,761
10/13/2020,LA,10,0,19900,682
10/13/2020,MA,13,17,13112,749
10/13/2020,MD,9,43,8392,482
10/13/2020,ME,0,0,23112,28
10/13/2020,MI,30,0,36996,1466
10/13/2020,MN,7,79,9974,1135
10/13/2020,MO,0,0,0,0
10/13/2020,MP,0,0,0,0
10/13/2020,MS,14,0,0,713
10/13/2020,MT,5,7,8707,486
10/13/2020,NC,43,0,25035,1734
10/13/2020,ND,14,27,898,508
10/13/2020,NE,3,17,3098,457
10/13/2020,NH,0,6,4138,136
10/13/2020,NJ,7,71,0,988
10/13/2020,NM,4,25,5154,379
10/13/2020,NV,10,0,2022,487
10/13/2020,NY,11,0,97677,1393
10/13/2020,OH,12,123,35370,1447
10/13/2020,OK,15,-19,31705,1309
10/13/2020,OR,6,13,5709,313
10/13/2020,PA,16,0,15387,1342
10/13/2020,PR,3,0,0,306
10/13/2020,RI,2,0,1465,129
10/13/2020,SC,17,54,12836,828
10/13/2020,SD,0,25,744,414
10/13/2020,TN,23,61,12757,1147
10/13/2020,TX,64,0,55340,5289
10/13/2020,UT,0,52,7814,987
10/13/2020,VA,11,152,19684,1235
10/13/2020,VI,0,0,117,0
10/13/2020,VT,0,0,835,10
10/13/2020,WA,0,0,0,0
10/13/2020,WI,34,147,11262,3428
10/13/2020,WV,2,0,4958,274
10/13/2020,WY,3,5,2703,162
10/12/2020,AK,0,0,2732,198
10/12/2020,AL,1,0,3970,734
10/12/2020,AR,17,50,7844,654
10/12/2020,AS,0,0,0,0
10/12/2020,AZ,0,4,7567,475
10/12/2020,CA,8,0,140888,3449
10/12/2020,CO,0,14,9572,819
10/12/2020,CT,2,0,99066,1339
10/12/2020,DC,0,0,2614,38
10/12/2020,DE,2,0,3552,159
10/12/2020,FL,47,91,15219,1533
10/12/2020,GA,13,21,16185,902
10/12/2020,GU,0,0,627,92
10/12/2020,HI,1,6,0,101
10/12/2020,IA,12,0,2217,463
10/12/2020,ID,0,10,1488,365
10/12/2020,IL,13,0,44837,2742
10/12/2020,IN,6,124,8096,1574
10/12/2020,KS,8,54,9837,2055
10/12/2020,KY,3,27,27753,638
10/12/2020,LA,14,0,3337,60
10/12/2020,MA,13,11,18036,760
10/12/2020,MD,4,49,10087,504
10/12/2020,ME,0,0,0,29
10/12/2020,MI,6,0,48856,1932
10/12/2020,MN,3,67,9857,1171
10/12/2020,MO,0,0,0,0
10/12/2020,MP,0,0,0,0
10/12/2020,MS,0,184,0,296
10/12/2020,MT,2,12,9777,423
10/12/2020,NC,3,0,28288,1276
10/12/2020,ND,12,23,831,472
10/12/2020,NE,0,0,2522,495
10/12/2020,NH,1,2,1074,51
10/12/2020,NJ,1,12,56356,469
10/12/2020,NM,4,6,7460,261
