0,Basketball Men's Basketball,Basketball
1,Judo Men's Extra-Lightweight,Judo
2,Football Men's Football,Football
3,Tug-Of-War Men's Tug-Of-War,Tug-Of-War
4,Speed Skating Women's 500 metres,Speed Skating
5,"Speed Skating Women's 1,000 metres",Speed Skating
6,Cross Country Skiing Men's 10 kilometres,Cross Country Skiing
7,Cross Country Skiing Men's 50 kilometres,Cross Country Skiing
8,Cross Country Skiing Men's 10/15 kilometres Pursuit,Cross Country Skiing
9,Cross Country Skiing Men's 4 x 10 kilometres Relay,Cross Country Skiing
10,Cross Country Skiing Men's 30 kilometres,Cross Country Skiing
11,Athletics Women's 100 metres,Athletics
12,Athletics Women's 4 x 100 metres Relay,Athletics
13,Ice Hockey Men's Ice Hockey,Ice Hockey
14,Swimming Men's 400 metres Freestyle,Swimming
15,Badminton Men's Singles,Badminton
16,Sailing Women's Windsurfer,Sailing
17,Biathlon Women's 7.5 kilometres Sprint,Biathlon
18,Swimming Men's 200 metres Breaststroke,Swimming
19,Swimming Men's 400 metres Breaststroke,Swimming
20,Gymnastics Men's Individual All-Around,Gymnastics
21,Gymnastics Men's Team All-Around,Gymnastics
22,Gymnastics Men's Floor Exercise,Gymnastics
23,Gymnastics Men's Horse Vault,Gymnastics
24,Gymnastics Men's Parallel Bars,Gymnastics
25,Gymnastics Men's Horizontal Bar,Gymnastics
26,Gymnastics Men's Rings,Gymnastics
27,Gymnastics Men's Pommelled Horse,Gymnastics
28,Athletics Men's Shot Put,Athletics
29,"Art Competitions Mixed Sculpturing, Unknown Event",Art Competitions
30,Alpine Skiing Men's Downhill,Alpine Skiing
31,Alpine Skiing Men's Super G,Alpine Skiing
32,Alpine Skiing Men's Giant Slalom,Alpine Skiing
33,Alpine Skiing Men's Slalom,Alpine Skiing
34,Alpine Skiing Men's Combined,Alpine Skiing
35,Handball Women's Handball,Handball
36,Weightlifting Women's Super-Heavyweight,Weightlifting
37,"Wrestling Men's Light-Heavyweight, Greco-Roman",Wrestling
38,Speed Skating Men's 500 metres,Speed Skating
39,"Speed Skating Men's 1,500 metres",Speed Skating
40,"Gymnastics Men's Team All-Around, Free System",Gymnastics
41,Luge Women's Singles,Luge
42,Water Polo Men's Water Polo,Water Polo
43,Sailing Mixed Three Person Keelboat,Sailing
44,Hockey Women's Hockey,Hockey
45,Rowing Men's Lightweight Double Sculls,Rowing
46,Athletics Men's Pole Vault,Athletics
47,Athletics Men's High Jump,Athletics
